"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4142","take screenshot","firefox","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","3413","handle new tab","chromium","2026-07-08","passed","2026-07-08","","multiTabTest.spec.js","",""
"","5822","handle new tab","firefox","2026-07-08","passed","2026-07-08","","multiTabTest.spec.js","",""
"","8601","wait for dynamic element","webkit","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","3289","fill form using POM","webkit","2026-07-08","passed","2026-07-08","","textBoxPOM.spec.js","",""
"","3806","search on google","firefox","2026-07-08","passed","2026-07-08","","myFirstTest.spec.js","",""
"","2905","wait for element","chromium","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","4148","First test with hooks","firefox","2026-07-08","passed","2026-07-08","","hooksTest.spec.js","",""
"","842","get started link","webkit","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","2910","search on google","chromium","2026-07-08","passed","2026-07-08","","myFirstTest.spec.js","",""
"","3175","Second Test after hooks","webkit","2026-07-08","passed","2026-07-08","","hooksTest.spec.js","",""
"","2897","practice different locators","chromium","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","4094","select desktop checbox","webkit","2026-07-08","passed","2026-07-08","","checkboxTest.spec.js","",""
"","6094","practice different locators","firefox","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","2842","fill in text box form","chromium","2026-07-08","passed","2026-07-08","","formTest.spec.js","",""
"","3963","fill form using fixture","firefox","2026-07-08","passed","2026-07-08","","fixtureTest.spec.js","",""
"","1196","get started link","firefox","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","3148","practice different locators","webkit","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","3008","wait for element","webkit","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","8393","wait for dynamic element","chromium","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","4102","wait for page load","chromium","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","655","has title","chromium","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","3185","select desktop checbox","chromium","2026-07-08","passed","2026-07-08","","checkboxTest.spec.js","",""
"","3894","fill in text box form","firefox","2026-07-08","passed","2026-07-08","","formTest.spec.js","",""
"","2797","practice test","chromium","2026-07-08","passed","2026-07-08","","practiceTest.spec.js","",""
"","3295","fill in text box form","webkit","2026-07-08","passed","2026-07-08","","formTest.spec.js","",""
"","3128","practice getByText","webkit","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","4705","select desktop checbox","firefox","2026-07-08","passed","2026-07-08","","checkboxTest.spec.js","",""
"","909","my First test","webkit","2026-07-08","passed","2026-07-08","","myFirstTest.spec.js","",""
"","3719","handle new tab","webkit","2026-07-08","passed","2026-07-08","","multiTabTest.spec.js","",""
"","6650","fill practice form","firefox","2026-07-08","passed","2026-07-08","","practiceFormTest.spec.js","",""
"","3481","fill form using fixture","chromium","2026-07-08","passed","2026-07-08","","fixtureTest.spec.js","",""
"","4001","practice test","webkit","2026-07-08","passed","2026-07-08","","practiceTest.spec.js","",""
"","6751","fill form using POM","firefox","2026-07-08","passed","2026-07-08","","textBoxPOM.spec.js","",""
"","3136","fill form using fixture","webkit","2026-07-08","passed","2026-07-08","","fixtureTest.spec.js","",""
"","3794","wait for element","firefox","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","5410","data driven from test using POM","webkit","2026-07-08","passed","2026-07-08","","textBoxPOM.spec.js","",""
"","2753","practice getByText","chromium","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","5707","data driven from test using POM","chromium","2026-07-08","passed","2026-07-08","","textBoxPOM.spec.js","",""
"","4211","Second Test after hooks","firefox","2026-07-08","passed","2026-07-08","","hooksTest.spec.js","",""
"","1721","has title","webkit","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","4781","search on google","webkit","2026-07-08","passed","2026-07-08","","myFirstTest.spec.js","",""
"","650","my First test","chromium","2026-07-08","passed","2026-07-08","","myFirstTest.spec.js","",""
"","780","get started link","chromium","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","8423","wait for dynamic element","firefox","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","8406","data driven from test using POM","firefox","2026-07-08","passed","2026-07-08","","textBoxPOM.spec.js","",""
"","5215","wait for page load","webkit","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","3059","First test with hooks","webkit","2026-07-08","passed","2026-07-08","","hooksTest.spec.js","",""
"","3365","fill practice form","chromium","2026-07-08","passed","2026-07-08","","practiceFormTest.spec.js","",""
"","1161","my First test","firefox","2026-07-08","passed","2026-07-08","","myFirstTest.spec.js","",""
"","3877","practice test","firefox","2026-07-08","passed","2026-07-08","","practiceTest.spec.js","",""
"","6558","practice getByText","firefox","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","2997","fill form using POM","chromium","2026-07-08","passed","2026-07-08","","textBoxPOM.spec.js","",""
"","4373","wait for page load","firefox","2026-07-08","passed","2026-07-08","","waitsTest.spec.js","",""
"","3731","fill practice form","webkit","2026-07-08","passed","2026-07-08","","practiceFormTest.spec.js","",""
"","3128","take screenshot","webkit","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","2764","take screenshot","chromium","2026-07-08","passed","2026-07-08","","locatorPractice.spec.js","",""
"","2777","Second Test after hooks","chromium","2026-07-08","passed","2026-07-08","","hooksTest.spec.js","",""
"","2899","First test with hooks","chromium","2026-07-08","passed","2026-07-08","","hooksTest.spec.js","",""
"","1364","has title","firefox","2026-07-08","passed","2026-07-08","","example.spec.js","",""
